科技王国的背景故事	科技王国附近通常是由齿轮零件、工业废弃机器、电线芯片等人类电器聚集区块所形成的。通常也会伴随着机械工作而产生不稳定的气候。科技国度的潮灵性格大多极具钻研精神，极具创造天赋，友好纯真、同时渴望得到认可。																
科技王国的地理情况	有错综复杂的蒸汽朋克迷城、有可乐工厂车间、工业废料山、齿轮海等。王国的首都坐落在中间地带，四周环绕着高大的科技建筑和工厂。王国的边境设有先进的科技防御系统，保障着王国的安全。																
科技王国的建筑风格	科技王国的建筑风格充满现代感和未来科技元素。王国的城市和工厂都由钢铁和玻璃构建，高耸入云的摩天大楼和悬浮式建筑在王国的各个角落崛起。自动化设备和智能机器人为居民提供便利，使整个王国运转高效。																
科技王国有哪些生物	包括有机械鼠、智能狗、服务机器人、无人飞行机、移动检测人等，象征性植物有钉刺花苞、齿轮花、冰块树、气泡树、螺丝钉树等。																
科技王国的文化信仰	科技王国的文化信仰以科学和技术为核心。居民崇尚知识和智慧，相信科技的力量可以改变世界。他们尊敬科学家和工程师，把科学创新和工程技术视为王国的命脉。王国中有许多科技学院和实验室，培养着一代代科学家和工程师。																
科技王国的代表潮灵	力昂、白墩墩、茉莉																
海洋王国的简介	珍珠和水晶闪烁着五彩光华，云朵和汪洋将这里包围，美人鱼和海草王子居住其中，各类传说与童话不断传颂，有着无比烂漫的奇幻景色。瑰丽是它永恒的色彩，但是一次意外导致巨大珍珠“水之心”的失踪，照耀水域的光芒变得黯淡，从此这里便笼上了一层朦胧的迷雾。																
海洋王国的背景故事	海洋王国的潮灵在云海之上发展了许久，据传说是由神秘的海洋生物统治的。而一些潮灵，他们生来就是海洋之子，拥有着神奇的力量，可以掌控海洋的波涛和海浪。海洋王国一直以和平相处和保护海洋生态为宗旨，致力于维护海洋的生态平衡。																
海洋王国的地理情况	海洋王国位于广袤无垠的海域，涵盖着多个海洋生态系统。王国的首都建在一个巨大的珊瑚礁岛上，四周环绕着壮观的珊瑚礁和海洋生物。王国的边界没有固定的界线，而是由海洋生物的领地和领海界定。																
海洋王国的建筑风格	海洋王国的建筑以自然元素为主，充分融合了海洋生态。王国的建筑多采用珊瑚石和贝壳，呈现出独特的海洋风格。王国中有许多潜水建筑，可以让居民和游客近距离欣赏海底美景。																
海洋王国有哪些生物	海洋王国生活着各种奇特的海洋生物，包括海龟、海豚、鲸鱼、珊瑚鱼等，象征性植物包括海草、珊瑚、珍珠藻。																
海洋王国的文化信仰	海洋王国的文化信仰与大自然和海洋有关。居民尊敬和崇拜海洋神灵，相信海洋治愈一切的能量，会保护着他们的家园和生活。海洋王国注重环保和保护海洋生态，居民都深知海洋的重要性，积极参与保护海洋的行动，并乐于把爱分享给每一个人。																
海洋王国的代表潮灵	艾尔、贝蒂、丽莎																
蘑菇王国的简介	蘑菇王国是一个奇幻而神秘的王国，由各种蘑菇生物构成的社会。这个王国充满了色彩斑斓的蘑菇和奇幻的植物，高大的蘑菇和植物甚至可以当作潮灵的建筑物，是一个充满幻想和但混乱发展的国度。																
蘑菇王国的背景故事	蘑菇王国的历史相传已久，据说是由一个古老的蘑菇潮灵统治的。他释放了神奇的魔力，可以使植物生长和变幻形态。过渡的生长导致了蘑菇王国现在的混乱，所以在王国内总是会出现一些强盗团。																
蘑菇王国的地理情况	蘑菇王国分布在广阔的森林和湖泊之间，涵盖着多种植物生态系统。王国的首都坐落在一个巨大的蘑菇屋顶下，四周环绕着奇幻的蘑菇和神奇的植物。王国的边界由巨大的蘑菇和植物构成，形成了一个神秘的防御屏障。																
蘑菇王国的建筑风格	蘑菇王国的建筑充满了幻想和奇异的元素。王国的建筑多采用蘑菇和植物构建，呈现出奇幻的森林风格。王国中有许多巨大的蘑菇屋和树屋，为居民提供舒适的居住环境。																
蘑菇王国有哪些生物	有飞鸟、蜜蜂、毛毛虫、小甲虫等，象征性植物包括巨大蘑菇、向日葵花丛、蒲公英、三叶草、小红花、无名绿色小草坡等																
蘑菇王国的文化信仰	蘑菇王国的文化信仰与自然和植物有关。蘑菇王国注重保护植物生态，居民脑海中根深蒂固地灌输着自由奔放、野蛮生长的理念。																
蘑菇王国的代表潮灵	阿瓜、图巴罗、琳																
潮灵是怎么诞生的	"为了在人类社会建立更宏大的潮玩市场，突破现有的潮玩理念，韩博士受到四大厂商的邀请，希望能研究出一种独特的潮玩，创造一个空前的潮玩世界。经过韩博士的潜心研究，终于研究出了一种独特的潮玩生产方案：将人类催眠后带入一个奇幻世界，把人类的灵魂嫁接进入手办的身体里，变成一种拥有灵魂的独特潮玩手办：潮灵。韩博士希望通过这种方式，让大家都变成可爱手办的样子，使人类世界斗争消失，充满欢乐。韩博士的女儿-小魔女，为帮助韩博士达成心愿，自愿成为第一只潮灵，成为韩博士方案的执行者。为了创造童话般美好的潮灵世界，小魔女只选择淳朴、童真的小孩，将人类世界的孩子带进潮灵世界，让孩子们的灵魂与潮玩一起成长，最后也化作潮灵，保持童心和快乐。但魔女的内心也挣扎迷茫，不知道这样做是否正确。"
厂商与韩博士的关系是什么	无论怎么说，四大厂商依然以盈利为目的的商业组织。当四大厂商的高层暗中了解韩博士的研究成果之后，一些人认可韩博士的理念，一些人觉得有利可图，还有一些人认为这研究违反了人类的本质，应该立刻停止。一时之间争论不休，为了各自的心愿和理想，四大厂商与韩博士的研究团队暗流涌动，准备各自对潮灵世界进行自己的计划安排。																
科技集团的中层介绍	莱银是科技集团的投资方，托尔芬家族的公子之一。平时酷爱玩乐，是十足的潮玩迷、游戏迷和机械迷，也是一个不折不扣的二世祖，经常在自己喜欢的领域挥霍无度。经过托尔芬家族的筛选后，莱银将作为一位潮灵几计划的实施者被派遣到潮灵世界征服，而对于早已厌倦无聊生活的莱银来说，变成大型高达的模样征战世界，正是心中所想。																
古典协会的中层介绍	黄天原任职古典协会的理事长助理，从历史中文学系毕业后，一直在古典协会任职，兢兢业业十余年。平时低调寡言，不爱张扬，却酷爱历史小说，尤其热爱民间历史传说，喜欢研究那些历史上低调却大有作为的神仙妖怪或武将文人。是个不修边幅的沉默大叔，却能将理事长安排的任务很好地完成，受到理事长的青睐。于是在理事长的暗中授意下，黄天制造了潮灵“黄仙”，成为了古典协会潮灵计划的负责人和执行者之一。																
幻梦工厂的中层介绍	对于幻梦工厂来说，没有什么人知道他的来历，只知道老板们都叫他杰克。杰克的身体略有残疾，在幻梦工厂里，杰克总是不以真面目示人，他喜欢戴着各种幻想IP的面具，伪装成普通幻想爱好者的身份，在面具下冷眼监视着工厂内的一切。工厂的高层曾试图阻止杰克，他们认为让身体残疾的人去执行计划，只会导致战斗力下降。但杰克似乎用自己非同寻常的坚韧和残缺的身体打败了所有其他候选人，成为计划最终的执行者。																
潮流公司的中层介绍	在绿幽的眼中，设计玩具，就是她一生的追求。身为潮流公司最大的商务品牌总监——欧阳先生的得力手下，绿幽小姐一直秉持着严于律己，待人严苛的处事方式。无论发生了什么，都不会影响绿幽对工作的专注。而她极度认真的工作态度，不仅令部分同事感到害怕，也赢得了部分同事和上司的好评。欧阳先生曾提出，若绿幽的业绩再进一步，便可放心把自己总监的位置交给她。为了完成更伟大的业绩，绿幽毅然接任了潮灵计划的执行任务，并且心中早已有了方案。什么可以代表潮流？是潮流玩具。怎么样可以引领潮流？只要像发条木偶一样无休止的工作。这是一次机会，将自己变为木偶玩具，一只永远在设计潮玩的潮灵，永不疲惫，永远工作。																
冒险之旅是什么	冒险之旅是《潮灵王国：起源》的核心玩法之一，通过潮灵们的不断冒险探索，一步步加深对潮灵世界的认知，同时慢慢揭开潮灵世界所发生故事的神秘面纱。在探索的过程中结交新朋友，获得成长，补充知见，同时建设自己的潮灵王国。																
冒险之旅怎么玩	"完成新手引导，潮灵们就将踏上冒险之旅，寻找王国之心。在王国的右下角，点击【冒险】即可进入冒险之旅，潮灵们将会遗忘森林中开始自己的冒险征程，通过一个地图的所有关卡即可展开下一个地图的冒险。冒险之旅中每个地图有3种不同的难度，高难度地图需要将前一个难度的地图探索到一定程度方可开启，同一张地图不同难度不共享探索进度，奖励也各不相同。"
冒险之旅探索规则是什么	每一张地图会有若干个小关卡，通关前一个关卡才能继续挑战，冒险之旅没有体力限制，只要潮灵队伍能挑战胜利即可一直探索下去。每个小关卡都会有3个不同的通关条件，满足通关条件的胜利才能拿到三星通关，但是没有拿到三星通关也不会影响后续的关卡或者后续地图的探索。																
冒险之旅有什么奖励	"冒险之旅的奖励分为两部分，一部分为通关奖励，另一部分为总星级奖励。通关奖励也分为一星、二星和三星，对应星级通关即可获得相应的通关奖励，该奖励只能领取一次，若某一个关卡已经三星通过了，再重复挑战即使胜利也不会获得奖励。通过奖励由金币、潮灵经验和王国经验组成。总星级奖励在界面底部显示，在一张地图中，收集到相应数量的通过星星即可领取对应的奖励，奖励内容包涵钻石、潮灵闪抽、潮灵扭蛋券、潮灵灵魂箱等等物品组成。"
冒险之旅还有哪些互动玩法	"在每张地图中，除了有可挑战的关卡，还有各种各样的互动物品等待着潮灵们去发掘，有的是可以结识新伙伴的潮灵闪抽，有的是可以装饰王国的装饰道具，也有能获得生产资源的采集物，更有能改变地图地形的互动点。最最重要的是，潮灵王国的王国之心也包含在地图的互动玩法中，通关章节地图即可拿到，千万不要错过哦。
阵容站位介绍	"站位非常重要，己方前排从上倒下对应123，后排从上到下对应456。敌人反过来，前排从下到上对应123，后排从下到上对应456。在不考虑刺客的情况下，1号位是主T，会受到236号三个敌人集火；2号位副T，会受到15号位两个敌人集火；3号位边锋，会和4号位敌人交锋。后排中6号位是最安全的，不容易被敌人攻击。合理的站位可以发挥出潮灵最大潜力。"
平民阵容推荐	"牟重重(主T) 小小(控制) 白墩墩(AOE) 祁灵(AOE) 琳(治疗) 图巴罗(单体输出)推荐理由：获取难度低，通过牟重重必杀聚怪提升白墩墩必杀伤害，可以吃到第二级的阵营加成，适用于绝大部分场景。培养顺序：牟重重>白墩墩>图巴罗>祁灵>小小>琳"
进阶阵容推荐	"牟重重(主T) 卢卡(副T 控制) 白墩墩(AOE) 杜铎/祁灵(AOE) 吉他手(回能) 茉莉/玻丽(持续输出)推荐理由：通过强力史诗潮灵提升阵容强度，卢卡既肉又有控制，茉莉或玻丽持续输出，吉他手增加回能速度加速启动。培养顺序：卢卡>茉莉>杜铎>牟重重>白墩墩>吉他手"
特殊阵容推荐	"塔弥(主C) 冷冷 乔科 阿鲁鲁推荐理由：塔弥小技能是全屏AOE伤害，启动快，可以吃到冷冷小技能的必定暴击，乔科和阿鲁鲁的效果被动可以提升队友的攻击力，养成足够时可以一招结束战斗。培养顺序：塔弥优先培养，最好能吃到等级压制伤害增幅(等级差30级达到上限2倍伤害)，冷冷至少21级解锁小技能，乔科和阿鲁鲁至少61级解锁被动4，其它挂件随意。"
建筑装扮-王国美食街介绍	在潮灵王国繁华的市中心，有这样一条饱受欢迎的美食街。美味佳肴数不胜数，行走在其中，你能感受到空气中弥漫着热腾腾的烤肉香，还有香喷喷的烤面包味，吃饱了还可以来杯网红饮料，在路边的繁茂的绿化林中、池塘边逛街消食，打卡拍照。没什么比美食更抚慰人心啦。																
紫色梦幻星空主题装扮	"拥有这一整套王国装饰，仿佛置身于仙气飘飘的梦幻月宫，家人们，谁懂啊，谁不想住进这样的仙宫里荡秋千呢？怀月秋千、银河之桥、紫星地板……这些漂亮时尚的小装饰，领主大人们都可以通过金币购买，或者是集齐碎片获得，装点王国后还能有一定的属性加成哦！"
“狮小小”（游戏角色）属于哪个厂商	“狮小小”（游戏角色）属于幻梦工厂																
“提卡”（游戏角色）属于哪个厂商	“提卡”（游戏角色）属于幻梦工厂																
“冷冷”（游戏角色）属于哪个厂商	“冷冷”（游戏角色）属于潮流公司																
“悟空”（游戏角色）属于哪个厂商	“悟空”（游戏角色）属于古典协会																
“力昂”（游戏角色）属于哪个厂商	“力昂”（游戏角色）属于科技集团																
“琳”（游戏角色）属于哪个厂商	“琳”（游戏角色）属于古典协会																
“影”（游戏角色）属于哪个厂商	“影”（游戏角色）属于古典协会																
“血刃”（游戏角色）属于哪个厂商	“血刃”（游戏角色）属于幻梦工厂																
“轻舞佳人”（游戏角色）属于哪个厂商	“轻舞佳人”（游戏角色）属于古典协会																
“烟火神”（游戏角色）属于哪个厂商	“烟火神”（游戏角色）属于科技集团																
“泡泡脑”（游戏角色）属于哪个厂商	“泡泡脑”（游戏角色）属于科技集团																
“伊林”（游戏角色）属于哪个厂商	“伊林”（游戏角色）属于古典协会																
“白墩墩”（游戏角色）属于哪个厂商	“白墩墩”（游戏角色）属于潮流公司																
“重”（游戏角色）属于哪个厂商	“重”（游戏角色）属于科技集团																
“墩小艺”（游戏角色）属于哪个厂商	“墩小艺”（游戏角色）属于科技集团																
“阿鲁鲁”（游戏角色）属于哪个厂商	“阿鲁鲁”（游戏角色）属于幻梦工厂																
“吉他手”（游戏角色）属于哪个厂商	“吉他手”（游戏角色）属于科技集团																
“乔科”（游戏角色）属于哪个厂商	“乔科”（游戏角色）属于潮流公司																
“小小”（游戏角色）属于哪个厂商	“小小”（游戏角色）属于潮流公司																
“苏拉”（游戏角色）属于哪个厂商	“苏拉”（游戏角色）属于潮流公司																
“多多”（游戏角色）属于哪个厂商	“多多”（游戏角色）属于潮流公司																
“菲”（游戏角色）属于哪个厂商	“菲”（游戏角色）属于潮流公司																
“阿瓜”（游戏角色）属于哪个厂商	“阿瓜”（游戏角色）属于幻梦工厂																
“牟重重”（游戏角色）属于哪个厂商	“牟重重”（游戏角色）属于古典协会																
“玻丽”（游戏角色）属于哪个厂商	“玻丽”（游戏角色）属于科技集团																
“卜卜苏利”（游戏角色）属于哪个厂商	“卜卜苏利”（游戏角色）属于科技集团																
“牟九九”（游戏角色）属于哪个厂商	“牟九九”（游戏角色）属于古典协会																
“奇霍”（游戏角色）属于哪个厂商	“奇霍”（游戏角色）属于潮流公司																
“塔弥”（游戏角色）属于哪个厂商	“塔弥”（游戏角色）属于科技集团																
“哈琪”（游戏角色）属于哪个厂商	“哈琪”（游戏角色）属于潮流公司																
“图巴罗”（游戏角色）属于哪个厂商	“图巴罗”（游戏角色）属于潮流公司																
“杜比利”（游戏角色）属于哪个厂商	“杜比利”（游戏角色）属于科技集团																
“泷”（游戏角色）属于哪个厂商	“泷”（游戏角色）属于古典协会																
“杜铎”（游戏角色）属于哪个厂商	“杜铎”（游戏角色）属于古典协会																
“莉亚特”（游戏角色）属于哪个厂商	“莉亚特”（游戏角色）属于幻梦工厂																
“艾尔”（游戏角色）属于哪个厂商	“艾尔”（游戏角色）属于幻梦工厂																
“丽莎”（游戏角色）属于哪个厂商	“丽莎”（游戏角色）属于幻梦工厂																
“蕾拉”（游戏角色）属于哪个厂商	“蕾拉”（游戏角色）属于古典协会																
“卢卡”（游戏角色）属于哪个厂商	“卢卡”（游戏角色）属于幻梦工厂																
“梅姬”（游戏角色）属于哪个厂商	“梅姬”（游戏角色）属于科技集团																
“海德”（游戏角色）属于哪个厂商	“海德”（游戏角色）属于潮流公司																
“查查”（游戏角色）属于哪个厂商	“查查”（游戏角色）属于潮流公司																
“贝蒂”（游戏角色）属于哪个厂商	“贝蒂”（游戏角色）属于幻梦工厂																
“茉莉”（游戏角色）属于哪个厂商	“茉莉”（游戏角色）属于科技集团																
“阿帕”（游戏角色）属于哪个厂商	“阿帕”（游戏角色）属于幻梦工厂																
“吕布”（游戏角色）属于哪个厂商	“吕布”（游戏角色）属于古典协会																
“美杜莎”（游戏角色）属于哪个厂商	“美杜莎”（游戏角色）属于幻梦工厂																
“祁灵”（游戏角色）属于哪个厂商	“祁灵”（游戏角色）属于古典协会																
“俄耳特洛斯”（游戏角色）属于哪个厂商	“俄耳特洛斯”（游戏角色）属于幻梦工厂																
“米薇”（游戏角色）属于哪个厂商	“米薇”（游戏角色）属于潮灵公司																
“罗妮”（游戏角色）属于哪个厂商	“罗妮”（游戏角色）属于古典协会																
“威尔斯”（游戏角色）属于哪个厂商	“威尔斯”（游戏角色）属于科技集团																
“狮小小”（游戏角色）是什么星座	狮子座																
“提卡”（游戏角色）是什么星座	巨蟹座																
“冷冷”（游戏角色）是什么星座	天蝎座																
“悟空”（游戏角色）是什么星座	白羊座																
“力昂”（游戏角色）是什么星座	摩羯座																
“琳”（游戏角色）是什么星座	巨蟹座																
“影”（游戏角色）是什么星座	摩羯座																
“血刃”（游戏角色）是什么星座	射手座																
“轻舞佳人”（游戏角色）是什么星座	天秤座																
“烟火神”（游戏角色）是什么星座	天蝎座																
“泡泡脑”（游戏角色）是什么星座	水瓶座																
“伊林”（游戏角色）是什么星座	双鱼座																
“白墩墩”（游戏角色）是什么星座	金牛座																
“重”（游戏角色）是什么星座	处女座																
“墩小艺”（游戏角色）是什么星座	射手座																
“阿鲁鲁”（游戏角色）是什么星座	双子座																
“吉他手”（游戏角色）是什么星座	水瓶座																
“乔科”（游戏角色）是什么星座	射手座																
“小小”（游戏角色）是什么星座	天秤座																
“苏拉”（游戏角色）是什么星座	射手座																
“多多”（游戏角色）是什么星座	天秤座																
“菲”（游戏角色）是什么星座	狮子座																
“阿瓜”（游戏角色）是什么星座	金牛座																
“牟重重”（游戏角色）是什么星座	金牛座																
“玻丽”（游戏角色）是什么星座	水瓶座																
“卜卜苏利”（游戏角色）是什么星座	巨蟹座																
“牟九九”（游戏角色）是什么星座	白羊座																
“奇霍”（游戏角色）是什么星座	双子座																
“塔弥”（游戏角色）是什么星座	水瓶座																
“哈琪”（游戏角色）是什么星座	射手座																
“图巴罗”（游戏角色）是什么星座	射手座																
“杜比利”（游戏角色）是什么星座	双子座																
“泷”（游戏角色）是什么星座	水瓶座																
“杜铎”（游戏角色）是什么星座	天蝎座																
“莉亚特”（游戏角色）是什么星座	白羊座																
“艾尔”（游戏角色）是什么星座	摩羯座																
“丽莎”（游戏角色）是什么星座	双鱼座																
“蕾拉”（游戏角色）是什么星座	双鱼座																
“卢卡”（游戏角色）是什么星座	狮子座																
“梅姬”（游戏角色）是什么星座	白羊座																
“海德”（游戏角色）是什么星座	天蝎座																
“查查”（游戏角色）是什么星座	水瓶座																
“贝蒂”（游戏角色）是什么星座	巨蟹座																
“茉莉”（游戏角色）是什么星座	处女座																
“阿帕”（游戏角色）是什么星座	狮子座																
“祁灵”（游戏角色）是什么星座	双子座																
“吕布”（游戏角色）是什么星座	白羊座																
“美杜莎”（游戏角色）是什么星座	天蝎座																
“狮小小”（游戏角色）的爱好习惯是什么	喜欢吃各种美食，也喜欢与朋友分享美食																
“提卡”（游戏角色）的爱好习惯是什么	每天都要弥撒布道，跟潮灵朋友分享爱和光明																
“冷冷”（游戏角色）的爱好习惯是什么	可能是有点强迫症，喜欢看到不健康的潮灵恢复到健康的状态																
“悟空”（游戏角色）的爱好习惯是什么	一但遇到不顺心的事，就会习惯性地发脾气撒野																
“力昂”（游戏角色）的爱好习惯是什么	每天都要锻炼自己打铁和打架的技术																
“琳”（游戏角色）的爱好习惯是什么	热衷于烘培各种糕点																
“影”（游戏角色）的爱好习惯是什么	时时刻刻都在钻研一招制敌的机巧																
“血刃”（游戏角色）的爱好习惯是什么	虽然表面上一副高冷的样子，但实际上是个爱打扮臭美的小姑娘																
“轻舞佳人”（游戏角色）的爱好习惯是什么	热衷于参加各种舞会和演出																
“烟火神”（游戏角色）的爱好习惯是什么	喜欢调试各种炸弹																
“泡泡脑”（游戏角色）的爱好习惯是什么	沉迷于研究自我意识的存在和其他潮灵科学																
“伊林”（游戏角色）的爱好习惯是什么	喜欢看到潮灵们露出笑脸																
“白墩墩”（游戏角色）的爱好习惯是什么	研究、研究、还是研究																
“重”（游戏角色）的爱好习惯是什么	没什么特别的爱好																
“墩小艺”（游戏角色）的爱好习惯是什么	喜欢穿着熊猫机甲到处冒险																
“阿鲁鲁”（游戏角色）的爱好习惯是什么	喜欢打扑克牌和下跳棋																
“吉他手”（游戏角色）的爱好习惯是什么	弹吉他就是吉他手的生命																
“乔科”（游戏角色）的爱好习惯是什么	一天不打球就全身不舒服																
“小小”（游戏角色）的爱好习惯是什么	一个人在家里时喜欢看电影打发时间																
“苏拉”（游戏角色）的爱好习惯是什么	贪玩，爱冒险，但也很会闯祸																
“多多”（游戏角色）的爱好习惯是什么	只要是能赚到钱，什么生意都喜欢																
“菲”（游戏角色）的爱好习惯是什么	喜欢时尚的东西																
“阿瓜”（游戏角色）的爱好习惯是什么	平日里除了看书就是画画																
“牟重重”（游戏角色）的爱好习惯是什么	情绪高涨时就会将鼓拍得咚咚响																
“玻丽”（游戏角色）的爱好习惯是什么	回家睡觉才是头等大事																
“卜卜苏利”（游戏角色）的爱好习惯是什么	喜欢穿得非常厚实，将自己捂得严严实实																
“牟九九”（游戏角色）的爱好习惯是什么	特别爱吃辣																
“奇霍”（游戏角色）的爱好习惯是什么	每天都飞来飞去，和各地的人洽谈业务																
“塔弥”（游戏角色）的爱好习惯是什么	沉迷于各种电子游戏																
“哈琪”（游戏角色）的爱好习惯是什么	非常喜欢逛街买买买																
